"","STAGE","DAYN","SEX","meanPropAbsent","sdPropAbsent","SDnoNANS","n","SE"
"1",1,-51,1,0.638968481375358,NA,0,1,0
"2",1,-51,2,0.405444126074499,NA,0,1,0
"3",1,-51,12,0.0816618911174785,NA,0,1,0
"4",1,-45,1,0.995633187772926,NA,0,1,0
"5",1,-45,2,0.407569141193595,NA,0,1,0
"6",1,-45,12,0,NA,0,1,0
"7",1,-39,1,1,NA,0,1,0
"8",1,-39,2,0.318047337278107,NA,0,1,0
"9",1,-39,12,0.100591715976331,NA,0,1,0
"10",1,-33,1,0.858789625360231,0.199701626963348,0.199701626963348,2,0.141210374639769
"11",1,-33,2,0.270333495364744,0.00532153032263409,0.00532153032263409,2,0.0037628901774244
"12",1,-33,12,0.118704645672025,0.0848099714336752,0.0848099714336752,2,0.0599697059129891
"13",1,-27,1,0.824075227559631,0.216525342466242,0.216525342466242,4,0.108262671233121
"14",1,-27,2,0.29261525454152,0.176154213672214,0.176154213672214,4,0.088077106836107
"15",1,-27,12,0.089055435929936,0.0862346205520869,0.0862346205520869,4,0.0431173102760434
"16",1,-21,1,0.798577358448896,0.186534237684863,0.186534237684863,8,0.0659498121952149
"17",1,-21,2,0.328845862107802,0.253076414631469,0.253076414631469,8,0.0894760244721452
"18",1,-21,12,0.102873214784364,0.134366484642461,0.134366484642461,8,0.0475057262274411
"19",1,-15,1,0.732358418420724,0.218656539701472,0.218656539701472,13,0.060644412739168
"20",1,-15,2,0.192772588223121,0.213781548119265,0.213781548119265,13,0.0592923333455446
"21",1,-15,12,0.0606531985909395,0.130046120420309,0.130046120420309,13,0.0360683042577375
"22",1,-9,1,0.73089535985978,0.232781974049848,0.232781974049848,25,0.0465563948099695
"23",1,-9,2,0.209296637245557,0.269371013812117,0.269371013812117,25,0.0538742027624234
"24",1,-9,12,0.0501788449718539,0.117075830059079,0.117075830059079,25,0.0234151660118159
"25",1,-3,1,0.650353885736145,0.22131610128736,0.22131610128736,35,0.0374092489285879
"26",1,-3,2,0.095766731230374,0.146116351472389,0.146116351472389,35,0.0246981712264593
"27",1,-3,12,0.0231976703017051,0.0717914437848479,0.0717914437848479,35,0.0121349688335735
"28",2,0,1,0.621602928445999,0.295496996444213,0.295496996444213,4,0.147748498222107
"29",2,0,2,0.149635824499645,0.207546391769447,0.207546391769447,4,0.103773195884724
"30",2,0,12,0,0,0,4,0
"31",2,3,1,0.541524986327562,0.233577367821876,0.233577367821876,39,0.0374023126799687
"32",2,3,2,0.13497921616393,0.142395005208245,0.142395005208245,39,0.0228014492950621
"33",2,3,12,0.0037085647608766,0.0224241667249297,0.0224241667249297,39,0.00359074041828046
"34",2,9,1,0.57218619060063,0.235235419572296,0.235235419572296,47,0.0343126124759167
"35",2,9,2,0.18449322967444,0.168815607614053,0.168815607614053,48,0.0243664341248459
"36",2,9,12,0.00487663667485066,0.017124181052989,0.017124181052989,48,0.00247166263514877
"37",2,15,1,0.540779721536099,0.233242491596926,0.233242491596926,47,0.0340219140537334
"38",2,15,2,0.206413325163348,0.167808951669277,0.167808951669277,47,0.0244774513085097
"39",2,15,12,0.000100803137365831,0.000516051371529497,0.000516051371529497,47,7.52738289206269e-05
"40",2,21,1,0.449415162509972,0.219523100200801,0.219523100200801,46,0.0323669153147936
"41",2,21,2,0.220668314493509,0.185044055928009,0.185044055928009,46,0.0272832575808619
"42",2,21,12,0.000368818672517685,0.00131841893504409,0.00131841893504409,46,0.000194390266814557
"43",2,27,1,0.502098964442758,0.197667318399227,0.197667318399227,48,0.0285308198719464
"44",2,27,2,0.255352913066543,0.150236366508365,0.150236366508365,48,0.0216847516614189
"45",2,27,12,0.00283878141123826,0.0119437538549602,0.0119437538549602,48,0.00172393237582398
"46",2,33,1,0.565292327717432,0.232058865761014,0.232058865761014,27,0.0446597495383203
"47",2,33,2,0.140620735292783,0.122745145762747,0.122745145762747,27,0.0236223143159473
"48",2,33,12,5.39898499082173e-05,0.000280539489402151,0.000280539489402151,27,5.39898499082173e-05
"49",2,34,1,0.365798369037056,0.119697549223293,0.119697549223293,2,0.0846389487472007
"50",2,34,2,0.107415388515655,0.0694468670380704,0.0694468670380704,2,0.0491063506147801
"51",2,34,12,0,0,0,2,0
"52",3,34,1,0.626057681245323,0.249400587141671,0.249400587141671,14,0.0666551106531709
"53",3,34,2,0.10055361129415,0.0912327876035553,0.0912327876035553,14,0.0243829881180586
"54",3,34,12,0.0057402183621585,0.0173368539742069,0.0173368539742069,14,0.0046334691240009
"55",3,39,1,0.792889974074526,0.215692398626077,0.215692398626077,42,0.0332820596693626
"56",3,39,2,0.0926599142228463,0.0861055725124852,0.0861055725124852,42,0.0132863782890803
"57",3,39,12,0.0045300635077769,0.0138507065257843,0.0138507065257843,42,0.00213721041627033
"58",3,43,1,0.761061946902655,NA,0,1,0
"59",3,43,2,0.244837758112094,NA,0,1,0
"60",3,43,12,0.0221238938053097,NA,0,1,0
"61",3,45,1,0.828582957494736,0.197160706800908,0.197160706800908,43,0.0300667259129044
"62",3,45,2,0.225750363703734,0.229797100712912,0.229797100712912,43,0.0350437293252967
"63",3,45,12,0.0561455082835975,0.10317349506114,0.10317349506114,43,0.015733810493042
"64",3,51,1,0.778687217701263,0.225123367190774,0.225123367190774,44,0.0339386245687819
"65",3,51,2,0.472502330692476,0.285866994548332,0.285866994548332,44,0.0430960709483359
"66",3,51,12,0.135987660871593,0.161974656217873,0.161974656217873,44,0.024418598191886
"67",3,57,1,0.821548225166045,0.207574705926611,0.207574705926611,43,0.0316548458910189
"68",3,57,2,0.605514790081173,0.251741069521926,0.251741069521926,43,0.0383901531960945
"69",3,57,12,0.18234515721663,0.177682730058828,0.177682730058828,43,0.0270963623067655
"70",3,61,1,1,NA,0,1,0
"71",3,61,2,1,NA,0,1,0
"72",3,61,12,0.345345345345345,NA,0,1,0
"73",3,63,1,0.913794887252903,0.163026144358932,0.163026144358932,35,0.0275564479073873
"74",3,63,2,0.624078736010518,0.28091314095427,0.28091314095427,35,0.0474829872573305
"75",3,63,12,0.267998429267061,0.188776312873002,0.188776312873002,35,0.0319090208033159
"76",3,69,1,0.828836566754811,0.250647447351743,0.250647447351743,27,0.0482371237334072
"77",3,69,2,0.641815618586615,0.290604915066568,0.290604915066568,27,0.0559269419805038
"78",3,69,12,0.24217189625438,0.230437881310279,0.230437881310279,27,0.0443477909353256
